,id,input_text,target_text,raw_prediction,processed_prediction
10,725_batch_2,"The Fraudfather
He'll give you a ballot you can reuse"," [i-10] The  [i-8] Fraudfather [o-8]  [o-10] 
He'll give you a ballot you can reuse",The Fraudfather  He'll give you a ballot you can reuse,"{'id': '<UNKNOWN>', 'article': ""The Fraudfather\nHe'll give you a ballot you can reuse"", 'fragments': [Fragment(start=48, end=53, label='Loaded Language')]}"
11,726_batch_2,NOW YOU KNOW WHY I DIDN'T BOTHER CAMPAIGNING,NOW YOU KNOW WHY I DIDN'T BOTHER CAMPAIGNING,NOW YOU KNOW WHY I DIDN'T BOTHER CAMPAIGNING ,"{'id': '<UNKNOWN>', 'article': ""NOW YOU KNOW WHY I DIDN'T BOTHER CAMPAIGNING"", 'fragments': []}"
12,727_batch_2,Me coming home with a turkey that serves 25,Me coming home with a turkey that serves 25,Me coming home with a turkey that serves 25 [i-8] [o-8] .,"{'id': '<UNKNOWN>', 'article': 'Me coming home with a turkey that serves 25', 'fragments': []}"
13,732_batch_2,"I NEVER SAY ANYTHING I CAN'T PROVE. 
- SIDNEY POWELL","I NEVER SAY ANYTHING I CAN'T PROVE. 
- SIDNEY POWELL"," [i-8] I NEVER SAY ANYTHING I CAN'T PROVE. 
- SIDNEY POWELL","{'id': '<UNKNOWN>', 'article': ""I NEVER SAY ANYTHING I CAN'T PROVE. \n- SIDNEY POWELL"", 'fragments': []}"
14,733_batch_2,'Strike me down and you'll make me even more powerful',' [i-7]  [i-8] Strike me down [o-8]  and you'll make me even more powerful [o-7] ','Strike me down and you'll make me even more powerful',"{'id': '<UNKNOWN>', 'article': ""'Strike me down and you'll make me even more powerful'"", 'fragments': []}"
15,736_batch_2,"By Bullet or Ballot
Restoration Of The Republic Is Coming !"," [i-2] By  [i-8] Bullet [o-8]  or Ballot
 [i-6] Restoration Of The Republic Is Coming [o-6]  ! [o-2] ",By Bullet or Ballot  Restoration Of The Republic Is Coming!,"{'id': '<UNKNOWN>', 'article': 'By Bullet or Ballot\nRestoration Of The Republic Is Coming !', 'fragments': []}"
16,738_batch_2,"We're fed up.
We're not asking for our country back.
We're TAKING IT BACK
WE THE PEOPLE ARE COMING
America was founded by pissed off people.
And they're pissed again!","We're fed up.
 [i-6]  [i-2] We're not asking for our country back.
We're TAKING IT BACK [o-2] 
WE THE PEOPLE ARE COMING
America was founded by  [i-10]  [i-8] pissed of [o-8] f people [o-10]  [o-6] .
And they're  [i-8] pissed [o-8]  again!","We're fed up.
We're not asking for our country back.  We're TAKING IT BACK  WE THE PEOPLE ARE COMING America was founded by pissed off people.
And they're pissed again!","{'id': '<UNKNOWN>', 'article': ""We're fed up.\nWe're not asking for our country back.\nWe're TAKING IT BACK\nWE THE PEOPLE ARE COMING\nAmerica was founded by pissed off people.\nAnd they're pissed again!"", 'fragments': []}"
17,740_batch_2,"REMEMBER KIDS. 
YOU CAN VOTE YOUR WAY INTO SOCIALISM.
BUT YOU HAVE TO SHOOT YOUR WAY OUT.","REMEMBER KIDS. 
 [i-2] YOU CAN VOTE YOUR WAY INTO SOCIALISM.
BUT  [i-1] YOU HAVE TO  [i-8] SHOOT YOUR WAY OUT [o-8]  [o-2]  [o-1] .","REMEMBER KIDS. 
YOU CAN VOTE YOUR WAY INTO SOCIALISM.

BUT YOU HAVE TO SHOOT YOUR WAY OUT.","{'id': '<UNKNOWN>', 'article': 'REMEMBER KIDS. \nYOU CAN VOTE YOUR WAY INTO SOCIALISM.\nBUT YOU HAVE TO SHOOT YOUR WAY OUT.', 'fragments': []}"
18,741_batch_2,"NOW RIDDLE ME THIS

IF VOTER FRAUD IS SO LOW, WHY DO LIBERALS THROW A TEMPER TANTRUM WHENEVER ANYBODY BOTHERS TO CHECK?","NOW RIDDLE ME THIS

 [i-4] IF  [i-8] VOTER FRAUD [o-8]  IS SO LOW, WHY DO LIBERALS THROW A  [i-8] TEMPER TANTRUM [o-8]  WHENEVER ANYBODY BOTHERS TO CHECK? [o-4] ","NOW RIDDLE ME THIS
IF VOTER FRAUD IS SO LOW, WHY DO LIBERALS THROW A TEMPER TANTRUM WHENEVER ANYBODY BOTHERS TO CHECK?","{'id': '<UNKNOWN>', 'article': 'NOW RIDDLE ME THIS\n\nIF VOTER FRAUD IS SO LOW, WHY DO LIBERALS THROW A TEMPER TANTRUM WHENEVER ANYBODY BOTHERS TO CHECK?', 'fragments': []}"
19,744_batch_2,"THE GOVERNMENT IS CORRUPT ON EVERY LEVEL BUT DON'T WORRY, THE GOVERNMENT WILL INVESTIGATE
ITSELF AND TELL YOU WHAT REALLY HAPPENED.
"," [i-4] THE GOVERNMENT IS  [i-8] CORRUPT [o-8]  ON EVERY LEVEL BUT DON'T WORRY, THE GOVERNMENT WILL INVESTIGATE
ITSELF AND TELL YOU WHAT REALLY HAPPENED [o-4] .
","THE GOVERNMENT IS CORRUPT ON EVERY LEVEL BUT DON'T WORRY, THE GOVERNOMENT WILL INVESTIGATE  HITSELF AND TELL YOU WHAT REALLY HAPPENED.
","{'id': '<UNKNOWN>', 'article': ""THE GOVERNMENT IS CORRUPT ON EVERY LEVEL BUT DON'T WORRY, THE GOVERNMENT WILL INVESTIGATE\nITSELF AND TELL YOU WHAT REALLY HAPPENED.\n"", 'fragments': []}"
20,746_batch_2,"THE MOST ANOINTED FALSE PROPHET IN THE EARTH TODAY IS THE LYING MEDIA AND IT HAS MILLIONS OF
CHRISTIANS UNDERNEATH ITS INFLUENCE AND THEY
DON'T EVEN KNOW IT!

"," [i-10]  [i-16] THE MOST ANOINTED  [i-8] FALSE PROPHET [o-8]  IN THE EARTH TODAY [o-10]  IS  [i-10] THE  [i-8] LYING [o-8]  MEDIA [o-10]  [o-16]  AND  [i-1] IT HAS MILLIONS OF
CHRISTIANS UNDERNEATH ITS INFLUENCE AND THEY
DON'T EVEN KNOW IT [o-1] !

","THE MOST ANOINTED FALSE PROPHET IN THE EARTH TODAY IS THE LYING MEDIA AND IT HAS MILLIONS OF  [i-8] [o-10] 

CHRISTIANS UNDERNEATH ITS INFLUENCE AND THEY
DON'T EVEN KNOW IT!ヘラ","{'id': '<UNKNOWN>', 'article': ""THE MOST ANOINTED FALSE PROPHET IN THE EARTH TODAY IS THE LYING MEDIA AND IT HAS MILLIONS OF\nCHRISTIANS UNDERNEATH ITS INFLUENCE AND THEY\nDON'T EVEN KNOW IT!\n\n"", 'fragments': []}"
21,748_batch_2,"IF YOU AIN'T DONALD TRUMP
THEN YOU AIN'T MY PRESIDENT
","IF YOU AIN'T DONALD TRUMP
THEN YOU AIN'T MY PRESIDENT
","IF YOU AIN'T DONALD TRUMP [i-8] [o-8] 
THEN YOU Ain'T MY PRESIDENT ","{'id': '<UNKNOWN>', 'article': ""IF YOU AIN'T DONALD TRUMP\nTHEN YOU AIN'T MY PRESIDENT\n"", 'fragments': []}"
22,750_batch_2,"WHY do Sidney Powell, James O'Keefe and Tom Fitton
have to do the job of our FBI and DOJ?


"," [i-4] WHY do Sidney Powell, James O'Keefe and Tom Fitton
have to do the job of our FBI and DOJ? [o-4] 


","WHY do Sidney Powell, James O'Keefe and Tom Fitton have to do the job of our FBI and DOJ?


","{'id': '<UNKNOWN>', 'article': ""WHY do Sidney Powell, James O'Keefe and Tom Fitton\nhave to do the job of our FBI and DOJ?\n\n\n"", 'fragments': []}"
23,753_batch_2,"HAIL JUSTICE AMY CONEY-BARRETT
"," [i-8] HAIL [o-8]  JUSTICE AMY CONEY-BARRETT
","HAIL JUSTICE AMY CONEY-BARRETT
","{'id': '<UNKNOWN>', 'article': 'HAIL JUSTICE AMY CONEY-BARRETT\n', 'fragments': []}"
24,754_batch_2,"WE COVER OUR FACES

SO OUR PARENTS WON'T GROUND US
","WE COVER OUR FACES

SO OUR PARENTS WON'T GROUND US
","WE COVER OUR FACES
SO OUR PARENTS WON'T GROUND US ","{'id': '<UNKNOWN>', 'article': ""WE COVER OUR FACES\n\nSO OUR PARENTS WON'T GROUND US\n"", 'fragments': []}"
25,758_batch_2,"FUCK EM

RELEASE THE KRAKEN
"," [i-8] FUCK EM [o-8] 

 [i-15] RELEASE THE KRAKEN [o-15] 
","FUCK EM
RELEASE THE KRAKEN ","{'id': '<UNKNOWN>', 'article': 'FUCK EM\n\nRELEASE THE KRAKEN\n', 'fragments': []}"
26,759_batch_2,"DOMINION VOTING AND SCYTL ARE FOREIGN COMPANIES...

ACCORDING TO U.S. LAW THAT'S ILLEGAL!!!
"," [i-4] DOMINION VOTING AND SCYTL ARE FOREIGN COMPANIES...

ACCORDING TO U.S. LAW THAT'S  [i-8] ILLEGAL!!! [o-4]  [o-8] 
","DOMINION VOTING AND SCYTL ARE FOREIGN COMPANIES...

ACCORDING TO U.S. LAW THAT'S ILLEGAL!!!
","{'id': '<UNKNOWN>', 'article': ""DOMINION VOTING AND SCYTL ARE FOREIGN COMPANIES...\n\nACCORDING TO U.S. LAW THAT'S ILLEGAL!!!\n"", 'fragments': []}"
27,763_batch_2,"THIS AIN'T OVER
","THIS AIN'T OVER
","THIS AIN'T OVER
","{'id': '<UNKNOWN>', 'article': ""THIS AIN'T OVER\n"", 'fragments': []}"
28,765_batch_2,"IF THEY ARE SO SURE THEY WON WHY HASNT KAMALA RESIGNED HER SENATE SEAT?
"," [i-4]  [i-12] IF THEY ARE SO SURE THEY WON WHY HASNT KAMALA RESIGNED HER SENATE SEAT? [o-4]  [o-12] 
","IF THEY ARE SO SURE THEY WON WHY HASNT KAMALA RESIGNED HER SENATE SEAT?
","{'id': '<UNKNOWN>', 'article': 'IF THEY ARE SO SURE THEY WON WHY HASNT KAMALA RESIGNED HER SENATE SEAT?\n', 'fragments': []}"
29,766_batch_2,"COWBOY WISDOM
""The water ain't gonna clear up 'til you get the pigs outa the creek!""
"," [i-0] COWBOY WISDOM
""The water ain't gonna clear up 'til you  [i-8] get the pigs outa the creek! [o-8] "" [o-0] 
"," [i-8] COWBOY WISDOM
""The water ain't gonna clear up 'til you get the pigs outa the creek!""
","{'id': '<UNKNOWN>', 'article': 'COWBOY WISDOM\n""The water ain\'t gonna clear up \'til you get the pigs outa the creek!""\n', 'fragments': []}"
30,767_batch_2,"AMERICA WAS NEVER THAT GREAT

CAN YOU REPEAT THAT YOU PIECE OF SHIT","AMERICA WAS NEVER THAT GREAT

CAN YOU REPEAT THAT YOU  [i-8]  [i-10] PIECE OF SHIT [o-8]  [o-10] ","AMERICA WAS NEVER THAT GREAT
 CAN YOU REPEAT THAT YOU PIECE OF SHIT","{'id': '<UNKNOWN>', 'article': 'AMERICA WAS NEVER THAT GREAT\n\nCAN YOU REPEAT THAT YOU PIECE OF SHIT', 'fragments': []}"
31,770_batch_2,"Liberal media declaring Biden the winner

Captain, I'm picking up BULLSHIT on all frequencies
"," [i-10]  [i-16] Liberal media [o-10]  declaring Biden the winner

 [i-4] Captain, I'm picking up  [i-8] BULLSHIT [o-8]  on all frequencies [o-4]  [o-16] 
","Liberal media declaring Biden the winner [i-8] [o-8] 
 [i-16]  [i-5] [o-10] 

Captain, I'm picking up BULLSHIT on all frequencies
","{'id': '<UNKNOWN>', 'article': ""Liberal media declaring Biden the winner\n\nCaptain, I'm picking up BULLSHIT on all frequencies\n"", 'fragments': []}"
32,771_batch_2,"Hallo. 
Ve vill have to restrikt your akkount because you vont konform to kommunity standards.

","Hallo. 
Ve vill have to restrikt your akkount because you vont konform to kommunity standards.

","Hallo. 
Ve vill have to restrikt your akkount because you vont konform to kommunity standards.
","{'id': '<UNKNOWN>', 'article': 'Hallo. \nVe vill have to restrikt your akkount because you vont konform to kommunity standards.\n\n', 'fragments': []}"
33,775_batch_2,"Nancy ""Has-been"" Pelosi has claimed that even if he is aquitted, Trump will always go down in history as having been impeached.
What Nasty Nancy hasn't realized yet is that her own legacy will be to go down in history as being the most
corrupt, lying and despised member of congress and the WORST speaker of the house that has ever been
known to man.
"," [i-10] Nancy ""Has-been"" Pelosi [o-10]  has claimed that even if he is aquitted, Trump will always go down in history as having been impeached.
 [i-16] What  [i-8]  [i-10] Nasty [o-8]  Nancy [o-10]  hasn't realized yet is that her own legacy will be to go down in history as being  [i-10] the most
 [i-8] corrupt, lying and despised [o-8]  member of congress [o-10]  and  [i-5]  [i-8]  [i-10] the WORST [o-8]  speaker [o-10]  of the house that has ever been
known to man [o-5]  [o-16] .
","Nancy ""Has-been"" Pelosi has claimed that even if he is aquitted, Trump will always go down in history as having been impeached.
What Nasty Nancy hasn't realized yet is that her own legacy will be to go down IN history as being the most corrupt, lying and despised member of congress and the WORST speaker of the house that has ever been known to man [o-10] [i-8].","{'id': '<UNKNOWN>', 'article': 'Nancy ""Has-been"" Pelosi has claimed that even if he is aquitted, Trump will always go down in history as having been impeached.\nWhat Nasty Nancy hasn\'t realized yet is that her own legacy will be to go down in history as being the most\ncorrupt, lying and despised member of congress and the WORST speaker of the house that has ever been\nknown to man.\n', 'fragments': [Fragment(start=128, end=235, label='Loaded Language')]}"
34,778_batch_2,"SEPTEMBER

ОСТОВЕR

NOVEMBER
You Are Here

DECEMBER

FEBRUARY

MARCH

APRIL

MAY
","SEPTEMBER

ОСТОВЕR

NOVEMBER
You Are Here

DECEMBER

FEBRUARY

MARCH

APRIL

MAY
","SEPTEMBER
  [i-8] 

 [o-8] [o-10] [i-8].   [i-16]  with  [i-5] [o-15] [i-8][i-8]  RECNOVEMBERForgeModLoaderYou Are Here
FINESTDECEMBER
FEBRUARY
MARCHEMOTEAPRIL
MAY覚醒","{'id': '<UNKNOWN>', 'article': 'SEPTEMBER\n\nОСТОВЕR\n\nNOVEMBER\nYou Are Here\n\nDECEMBER\n\nFEBRUARY\n\nMARCH\n\nAPRIL\n\nMAY\n', 'fragments': []}"
35,779_batch_2,"BIDEN/HARRIS VOTERS
","BIDEN/HARRIS VOTERS
"," [i-8]BIDEN/HARRIS VOTERS
","{'id': '<UNKNOWN>', 'article': 'BIDEN/HARRIS VOTERS\n', 'fragments': []}"
36,781_batch_2,"I WONDER HOW MANY DEMOCRATS ARE THINKING
""WE FILLED OUT TOO MANY""

"," [i-4] I WONDER HOW MANY DEMOCRATS ARE THINKING
""WE FILLED OUT TOO MANY"" [o-4] 

","  I WONDER HOW MANY DEMOCRATS ARE THINKING
""WE FILLED OUT TOO MANY""

","{'id': '<UNKNOWN>', 'article': 'I WONDER HOW MANY DEMOCRATS ARE THINKING\n""WE FILLED OUT TOO MANY""\n\n', 'fragments': []}"
37,782_batch_2,"Ladies and gentlemen, THIS, is what I call modern art.

Trump

","Ladies and gentlemen, THIS, is what I call modern art.

Trump

","Ladies and gentlemen, THIS, is what I call modern art.
Trump ","{'id': '<UNKNOWN>', 'article': 'Ladies and gentlemen, THIS, is what I call modern art.\n\nTrump\n\n', 'fragments': []}"
38,783_batch_2,"I SAW WHAT YOU DID WITH THOSE BALLOTS.
","I SAW WHAT YOU DID WITH THOSE BALLOTS.
","I SAW WHAT YOU DID WITH THOSE BALLOTS.
","{'id': '<UNKNOWN>', 'article': 'I SAW WHAT YOU DID WITH THOSE BALLOTS.\n', 'fragments': []}"
39,785_batch_2,"I'M A R.A.C.I.S.T.

REPUBLICAN
AGAINST
COMMUNIST
INSANE
SOCIALIST
TERRORISM

ARE YOU A R.A.C.I.S.T. TOO?
","I'M A  [i-8] R.A.C.I.S.T [o-8] .

REPUBLICAN
AGAINST
 [i-8] COMMUNIST [o-8] 
 [i-8] INSANE [o-8] 
 [i-8] SOCIALIST [o-8] 
 [i-8] TERRORISM [o-8] 

ARE YOU A  [i-8] R.A.C.I.S.T [o-8] . TOO?
","I'M A R.A.C.I.S.T.

REPUBLICAN
AGAINST
COMMUNIST INSANE

SOCIALIST
TERRORISM

ARE YOU A R.A. C. I. S. T. TOO?
","{'id': '<UNKNOWN>', 'article': ""I'M A R.A.C.I.S.T.\n\nREPUBLICAN\nAGAINST\nCOMMUNIST\nINSANE\nSOCIALIST\nTERRORISM\n\nARE YOU A R.A.C.I.S.T. TOO?\n"", 'fragments': []}"
40,787_batch_2,"Your inspiration..

My inspiration
","Your inspiration..

My inspiration
","Your inspiration..
My inspiration ","{'id': '<UNKNOWN>', 'article': 'Your inspiration..\n\nMy inspiration\n', 'fragments': []}"
41,789_batch_2,"Case for Biden sainthood opened at Vatican after he raised millions from the dead on election day

"," [i-16] Case for Biden sainthood opened at Vatican after  [i-5] he raised millions from the dead on election day [o-5]  [o-16] 

",Case for Biden sainthood opened at Vatican after he raised millions from the dead on election day ,"{'id': '<UNKNOWN>', 'article': 'Case for Biden sainthood opened at Vatican after he raised millions from the dead on election day\n\n', 'fragments': []}"
42,790_batch_2,"MAYBE THE REASON GROWN ADULTS ARE ACTING LIKE
CHILDREN ABOUT PRESIDENT TRUMP Is because he's stepped up and has acted like the ""strict parent"" to a group of spoiled, ignorant, and entitled ""teenagers"" in a Government that has been in need of a true Father figure for a long time!!!!!
"," [i-16] MAYBE THE REASON GROWN ADULTS ARE ACTING LIKE
 [i-10] CHILDREN [o-10]  ABOUT PRESIDENT TRUMP Is because  [i-7] he's stepped up and has acted like the  [i-10] ""strict parent"" [o-10]  to a group of  [i-8]  [i-10] spoiled, ignorant, and entitled [o-8]  ""teenagers"" [o-10]  in a Government that has been in need of a  [i-10] true Father figure [o-10]  for a long time!!!!! [o-7]  [o-16] 
","MAYBE THE REASON GROWN ADULTS ARE ACTING LIKE CHILDREN ABOUT PRESIDENT TRUMP Is because he's stepped up and has acted like the ""strict parent"" to a group of spoiled, ignorant, and entitled ""teenagers"" in a Government that has been in need of a true Father figure for a long time!!!!!
","{'id': '<UNKNOWN>', 'article': 'MAYBE THE REASON GROWN ADULTS ARE ACTING LIKE\nCHILDREN ABOUT PRESIDENT TRUMP Is because he\'s stepped up and has acted like the ""strict parent"" to a group of spoiled, ignorant, and entitled ""teenagers"" in a Government that has been in need of a true Father figure for a long time!!!!!\n', 'fragments': []}"
43,794_batch_2,"AMERICAN EXPERIENCE
THE GREAT WAR
","AMERICAN EXPERIENCE
THE GREAT WAR
","AMERICAN EXPERIENCE [i-8]THE GREAT WAR
","{'id': '<UNKNOWN>', 'article': 'AMERICAN EXPERIENCE\nTHE GREAT WAR\n', 'fragments': []}"
44,795_batch_2,"HOUSTON WE FOUND SOME MORE BALLOTS
","HOUSTON WE FOUND SOME MORE BALLOTS
",HOUSTON WE FOUND SOME MORE BALLOTS ,"{'id': '<UNKNOWN>', 'article': 'HOUSTON WE FOUND SOME MORE BALLOTS\n', 'fragments': []}"
45,798_batch_2,"""I'M COMPLETELY FED-UP TO HERE WITH FACEBOOK PUTTING WORDS INTO MY MOUTH""

""WHEN I SAID, WE NOW HAVE THE GREATEST VOTER FRAUD ORGANIZATION IN HISTORY',,, I MEANT IT!"".
","""I'M  [i-8] COMPLETELY FED-UP [o-8]  TO HERE WITH FACEBOOK PUTTING WORDS INTO MY MOUTH""

""WHEN I SAID, WE NOW HAVE THE  [i-10]  [i-5] GREATEST VOTER FRAUD ORGANIZATION IN HISTORY [o-10]  [o-5] ',,, I MEANT IT!"".
","""I'M COMPLETELY FED-UP TO HERE WITH FACEBOOK PUTTING WORDS INTO MY MOUTH""


""WHEN I SAID, WE NOW HAVE THE GREATEST VOTER FRAUD ORGANIZATION IN HISTORY',,, I MEANT IT!"".EMOTE","{'id': '<UNKNOWN>', 'article': '""I\'M COMPLETELY FED-UP TO HERE WITH FACEBOOK PUTTING WORDS INTO MY MOUTH""\n\n""WHEN I SAID, WE NOW HAVE THE GREATEST VOTER FRAUD ORGANIZATION IN HISTORY\',,, I MEANT IT!"".\n', 'fragments': []}"
46,799_batch_2,"The greatest words ever spoken by a sitting president.

""Democrats continue to defraud the public with ridiculous bullshit!""
- Donald Trump -
"," [i-7] The  [i-10]  [i-5] greatest words ever spoken by a sitting president [o-10]  [o-5]  [o-7] .

 [i-0] "" [i-16] Democrats continue to defraud the public with  [i-8] ridiculous bullshit [o-16] ! [o-8] ""
- Donald Trump [o-0]  -
"," [i-8] The greatest words ever spoken by a sitting president.
""Democrats continue to defraud the public with ridiculous bullshit!""
- Donald Trump -

","{'id': '<UNKNOWN>', 'article': 'The greatest words ever spoken by a sitting president.\n\n""Democrats continue to defraud the public with ridiculous bullshit!""\n- Donald Trump -\n', 'fragments': []}"
47,802_batch_2,"RIP FOX NEWS

I'M STILL GOING TO BE YOUR PRESIDENT
"," [i-8]  [i-16] RIP [o-8]  FOX NEWS [o-16] 

I'M STILL GOING TO BE YOUR PRESIDENT
"," [i-8] [o-8]    I'M STILL GOING TO BE YOUR PRESIDENT
","{'id': '<UNKNOWN>', 'article': ""RIP FOX NEWS\n\nI'M STILL GOING TO BE YOUR PRESIDENT\n"", 'fragments': []}"
48,803_batch_2,"He's been telling us for months about election fraud...
Do you really believe he hasn't been preparing for this moment???
3..2.. 1 ....Checkmate!!
","He's been telling us for months about  [i-8] election fraud [o-8] ...
 [i-4] Do you really believe he hasn't been preparing for this moment??? [o-4] 
3..2.. 1 .... [i-17] Checkmate!! [o-17] 
","He's been telling us for months about election fraud...Do you really believe he hasn't been preparing for this moment???
3..2.. 1....Checkmate!!
","{'id': '<UNKNOWN>', 'article': ""He's been telling us for months about election fraud...\nDo you really believe he hasn't been preparing for this moment???\n3..2.. 1 ....Checkmate!!\n"", 'fragments': []}"
49,804_batch_2,"Enjoy Communism
""it's finger lickin'good""

","Enjoy  [i-8]  [i-10] Communism [o-8] 
""it's finger lickin'good"" [o-10] 

","Enjoy Communism
""it's finger lickin'good"" ","{'id': '<UNKNOWN>', 'article': 'Enjoy Communism\n""it\'s finger lickin\'good""\n\n', 'fragments': []}"
50,805_batch_2,"WALT DISNEY Presents
OLD Smeller
","WALT DISNEY Presents
 [i-10] OLD Smeller [o-10] 
","WALT DISNEY Presents
OLD Smeller ","{'id': '<UNKNOWN>', 'article': 'WALT DISNEY Presents\nOLD Smeller\n', 'fragments': []}"
